Sp.Scien.jetz;Sp.Eng.jetz;Sp.Scien.hbw;Sp.Eng.hbw;Match_jetz_birdlife;Order;strategy_3;distance_4;distance_quanti_RES0;distance_quanti_ALL
Calcarius_lapponicus;Lapland-Longspur;Calcarius_lapponicus;Lapland-Longspur;Calcarius_lapponicus;PASSERIFORMES;strict_mig;long;2700,279886;2700,279886
Calcarius_mccownii;McCowns-Longspur;Rhynchophanes_mccownii;McCowns-Longspur;Rhynchophanes_mccownii;PASSERIFORMES;strict_mig;short;1447,935954;1447,935954
Calcarius_ornatus;Chestnut-collared-Longspur;Calcarius_ornatus;Chestnut-collared-Longspur;Calcarius_ornatus;PASSERIFORMES;strict_mig;short;1407,203975;1407,203975
Calcarius_pictus;Smiths-Longspur;Calcarius_pictus;Smiths-Longspur;Calcarius_pictus;PASSERIFORMES;strict_mig;variable;2690,159395;2690,159395
Calicalicus_madagascariensis;Red-tailed-Vanga;Calicalicus_madagascariensis;Red-tailed-Vanga;Calicalicus_madagascariensis;PASSERIFORMES;resident;resident;0;193,457129
Calicalicus_rufocarpalis;Red-shouldered-Vanga;Calicalicus_rufocarpalis;Red-shouldered-Vanga;Calicalicus_rufocarpalis;PASSERIFORMES;resident;resident;0;36,92339164
Calidris_acuminata;Sharp-tailed-Sandpiper;Calidris_acuminata;Sharp-tailed-Sandpiper;Calidris_acuminata;CHARADRIIFORMES;strict_mig;long;9062,721399;9062,721399
Calidris_alba;Sanderling;Calidris_alba;Sanderling;Calidris_alba;CHARADRIIFORMES;strict_mig;long;5556,603625;5556,603625
Calidris_alpina;Dunlin;Calidris_alpina;Dunlin;Calidris_alpina;CHARADRIIFORMES;strict_mig;long;3558,132344;3558,132344
Calidris_bairdii;Bairds-Sandpiper;Calidris_bairdii;Bairds-Sandpiper;Calidris_bairdii;CHARADRIIFORMES;strict_mig;long;10621,43445;10621,43445
Calidris_canutus;Red-Knot;Calidris_canutus;Red-Knot;Calidris_canutus;CHARADRIIFORMES;strict_mig;long;6477,01559;6477,01559
Calidris_ferruginea;Curlew-Sandpiper;Calidris_ferruginea;Curlew-Sandpiper;Calidris_ferruginea;CHARADRIIFORMES;strict_mig;long;8183,4061;8183,4061
Calidris_fuscicollis;White-rumped-Sandpiper;Calidris_fuscicollis;White-rumped-Sandpiper;Calidris_fuscicollis;CHARADRIIFORMES;strict_mig;long;12001,24487;12001,24487
Calidris_himantopus;Stilt-Sandpiper;Calidris_himantopus;Stilt-Sandpiper;Calidris_himantopus;CHARADRIIFORMES;strict_mig;long;7264,181589;7264,181589
Calidris_maritima;Purple-Sandpiper;Calidris_maritima;Purple-Sandpiper;Calidris_maritima;CHARADRIIFORMES;strict_mig;long;1962,663383;1962,663383
